id,x,y
49001747,48.087606,11.602823
49001611,48.08762,11.63925
49005274,48.08762,11.63925
49000256,48.087653,11.482085
49000280,48.087653,11.482085
49008228,48.087688,11.55671
49002238,48.08774,11.557067
49005057,48.087802,11.633412
49000927,48.087834,11.652863
49001813,48.087876,11.629505
49005026,48.087876,11.629505
49005627,48.088028,11.644879
49005601,48.088028,11.645496
49000410,48.088045,11.604955
49000479,48.088045,11.604955
49001870,48.088045,11.604955
49003975,48.088066,11.5586
49005526,48.088081,11.6691
49005314,48.088153,11.640812
49005672,48.088153,11.640812
49004976,48.088209,11.598172
49005607,48.088212,11.640437
49005644,48.088212,11.640437
49005735,48.088212,11.640437
49005759,48.088212,11.640437
49001342,48.088225,11.635738
49001869,48.08826,11.633883
49001875,48.08826,11.633883
49001887,48.08826,11.633883
49003276,48.08826,11.633883
49001549,48.088294,11.504684
49003283,48.08831,11.645436
49007814,48.088329,11.595758
49008294,48.088441,11.559572
49005024,48.088501,11.598559
49005030,48.088501,11.598559
49000622,48.088519,11.479176
49000457,48.088528,11.479764
49008265,48.088532,11.559465
49008177,48.088608,11.644789
49001593,48.088629,11.607618
49000316,48.088742,11.480002
49008289,48.088742,11.560043
49003266,48.088747,11.645377
49001977,48.088755,11.658493
49005221,48.08881,11.655288
49000303,48.08882,11.479805
49004213,48.088834,11.517839
49004974,48.088899,11.598815
49004276,48.089052,11.643294
49005670,48.08915,11.640169
49001309,48.08919,11.561263
49003371,48.089234,11.520374
49005742,48.089345,11.642418
49001951,48.089364,11.640194
49001811,48.089368,11.636464
49003464,48.089374,11.60693
49003981,48.089408,11.630598
49002350,48.089409,11.561765
49003979,48.089443,11.630303
49004308,48.089513,11.512269
49005673,48.089525,11.640151
49002831,48.089708,11.502583
49008142,48.089816,11.645096
49001915,48.089924,11.641515
49005712,48.089924,11.641515
49008332,48.090063,11.563035
49000416,48.090064,11.594776
49008589,48.090075,11.563179
49005135,48.090076,11.538029
49005140,48.090076,11.538029
49008275,48.090076,11.566232
49008304,48.090076,11.566232
49008356,48.090076,11.566232
49007357,48.090096,11.640227
49005137,48.090141,11.538765
49005231,48.090329,11.636729
